comment_text,brand,search_term,source,additional_info
"I love it!",Hermes,love,TikTok,"{ likes: 6, date: '2022-07-28 07:09:44'}"
"im inlove 🥰🥰",Hermes,love,TikTok,"{ likes: 4, date: '2022-07-28 09:14:35'}"
"@willabelleofficial where is the top / dress from please?? I'm in love !!",Hermes,love,TikTok,"{ likes: 3, date: '2022-07-28 10:09:46'}"
"omg yeeees 🐊 love that",Hermes,love,TikTok,"{ likes: 7, date: '2022-07-28 11:24:41'}"
"to be able to afford a house in this economy:) that’s the best thing",Hermes,best,TikTok,"{ likes: 15, date: '2022-07-28 15:01:17'}"
"The color nero?",Hermes,color,TikTok,"{ likes: 1, date: '2022-07-28 19:20:40'}"
"Midnight Blue is the colorHermes",Louis Vuitton,color,TikTok,"{ likes: 3, date: '2022-07-29 11:21:21'}"
"idk why so many people hate LV like he did something wrong. they're boys. that's their banter. if it offends u ur acc moist 😂",Hermes,hate,TikTok,"{ likes: 0, date: '2022-07-29 20:18:36'}"
"Yes there so many other things better in this world than a Birkin..... so many many more.",Hermes,better,TikTok,"{ likes: 25, date: '2022-07-30 00:47:42'}"
"so elegant! Love your dress! where did you get it from? thank you.",Hermes,love,TikTok,"{ likes: 3, date: '2022-07-30 01:58:34'}"
"Lv is a wasteman",Hermes,waste,TikTok,"{ likes: 0, date: '2022-07-31 11:08:14'}"
"I love Hermès but they gotta stop producing exotic handbagsHermes",Louis Vuitton,love,TikTok,"{ likes: 853, date: '2022-07-31 14:28:37'}"
"Wow nice color!!",Hermes,color,TikTok,"{ likes: 0, date: '2022-07-31 19:23:35'}"
"the only victim here are the ones that believe the context i.e. captions.. ain't no real hate here",Hermes,hate,TikTok,"{ likes: 0, date: '2022-08-01 20:44:38'}"
"In love ❤️❤️❤️",Hermes,love,TikTok,"{ likes: 1, date: '2022-08-02 06:31:29'}"
"ninang today was the worstHermes",Louis Vuitton,worst,TikTok,"{ likes: 0, date: '2022-08-02 15:32:13'}"
"You are unboxing a thousand dollar worth! That smell though😍",Hermes,worth,TikTok,"{ likes: 0, date: '2022-08-02 16:35:56'}"
